field_1,field_2,field_3,field_4,field_5,field_6,field_7,,,
area,2019 March,2018 March,"Year-over-year 
percentage
change",2019 March,2018 March,"Year-over-year 
percentage
change",current_month,current_year,past_year
Muskoka ,72,76,-5.3,"$387,750 ","$360,000 ",7.7,March ,2019,2018
Haliburton ,16,19,-15.8,"$329,000 ","$234,000 ",40.6,March ,2019,2018
Orillia ,73,47,55.3,"$396,500 ","$420,000 ",-5.6,March ,2019,2018
Parry Sound ,24,26,-7.7,"$278,000 ","$231,250 ",20.2,March ,2019,2018
All Other Areas ,15,10,50,"$575,000 ","$437,500 ",31.4,March ,2019,2018
